bookmaker,league,era_bin,sample_size,logloss_closing,brier_closing,accuracy,coverage_rate,avg_overround,overround_std,total_matches_in_context
bw,F1,2018-2022,379,1.0019464024469036,0.5992388786321805,0.49604221635883905,0.9973684210526316,1.0569099889992357,0.006244710996711235,380
iw,F1,2018-2022,380,0.9994153063896221,0.5972481580094827,0.5052631578947369,1.0,1.0504267932437703,0.0037772416822191403,380
ps,F1,2018-2022,380,1.0003136347070705,0.5982398361590885,0.5,1.0,1.025092586714342,0.004760696090779613,380
wh,F1,2018-2022,380,0.9994241460713912,0.5977888981278082,0.5,1.0,1.0651928405418716,0.005743065207164627,380
vc,F1,2018-2022,380,0.9998099202892795,0.5979247869810562,0.5052631578947369,1.0,1.0602081407461599,0.0047859286721781075,380
b365,I1,1998-2002,134,0.9580638752992384,0.5682969937965837,0.582089552238806,0.4148606811145511,1.1246363540515731,0.004200479150118032,323
iw,I1,1998-2002,134,0.9626027850448657,0.571083440882035,0.582089552238806,0.4148606811145511,1.1352175582233244,0.003548870333735781,323
lb,I1,1998-2002,125,0.945441741022149,0.5614326002635909,0.584,0.38699690402476783,1.1240508906285636,0.003270510228741371,323
wh,I1,1998-2002,134,0.9634353281787462,0.5708264337901608,0.5895522388059702,0.4148606811145511,1.1259498138686606,0.0021962183278121006,323
b365,I1,2003-2007,860,0.956022777790272,0.5701009443702344,0.5255813953488372,0.9662921348314607,1.0965319709159727,0.023573687841825473,890
bw,I1,2003-2007,524,0.9495031356531567,0.5668601791741635,0.5324427480916031,0.5887640449438202,1.1001069973602353,0.0031302443845468487,890
iw,I1,2003-2007,852,0.9632931984531238,0.5745866180554143,0.5176056338028169,0.9573033707865168,1.125165580354926,0.012862911576839551,890
lb,I1,2003-2007,854,0.9560655492115033,0.5697159737207359,0.5257611241217799,0.9595505617977528,1.123641042746275,0.004102581656209855,890
wh,I1,2003-2007,769,0.9471510369296376,0.5633084138172758,0.52925877763329,0.8640449438202247,1.1250468965638096,0.00369532277945415,890
sj,I1,2003-2007,523,0.9509826118273085,0.5684708339587384,0.5315487571701721,0.5876404494382023,1.0996547337050533,0.009101798194272547,890
vc,I1,2003-2007,509,0.9543903164061298,0.5693955565386292,0.5284872298624754,0.5719101123595506,1.11086301195848,0.008675597672210836,890
