match_id,y,ctx_dispersion,ctx_n_books,ctx_has_pinnacle,ctx_league_tier,ctx_league_E0,ctx_league_SP1,ctx_league_I1,ctx_league_D1,ctx_league_F1,ctx_month,ctx_is_weekend,ctx_season_phase,ctx_overround,pH_b365,pD_b365,pA_b365,pH_bw,pD_bw,pA_bw,pH_wh,pD_wh,pA_wh,pH_ps,pD_ps,pA_ps
11400,0,0.020729447302363698,4,1,1,0,0,0,1,0,5,1,2,1.05,0.39823008849557523,0.26327433628318586,0.33849557522123896,0.3864042933810376,0.26296958855098396,0.3506261180679786,0.39608278487035126,0.2547775751328205,0.3491396399968281,0.406069579789493,0.26658861609448714,0.3273418041160199
11398,0,0.011853809289341726,4,1,1,0,0,0,1,0,5,1,2,1.05,0.73628772391809,0.15196978621669383,0.11174248986521604,0.7421087978509067,0.14613834788448626,0.11175285426460713,0.7512038523274479,0.14446227929373998,0.1043338683788122,0.7437847044434953,0.14381335675040394,0.11240193880610082
11397,0,0.022441008881548243,4,1,1,0,0,0,1,0,5,1,2,1.05,0.7346938775510204,0.15918367346938778,0.10612244897959185,0.745975013935797,0.14575204118437882,0.10827294487982425,0.7512038523274479,0.14446227929373998,0.1043338683788122,0.7321347406696632,0.14312408464218979,0.12474117468814708
11396,0,0.013361404764782309,4,1,1,0,0,0,1,0,5,1,2,1.05,0.3246753246753247,0.20779220779220778,0.4675324675324675,0.3132007233273056,0.21699819168173598,0.4698010849909584,0.3157894736842105,0.21052631578947367,0.47368421052631576,0.3134339293501962,0.2217147841255996,0.46485128652420404
11395,0,0.008577978458548052,4,1,1,0,0,0,1,0,5,1,2,1.05,0.4120564669973293,0.23693246852346433,0.3510110644792064,0.4017102322417646,0.24205616558157614,0.3562336021766592,0.40956826137689617,0.24154025670945162,0.34889148191365227,0.4089704839732826,0.24027015933430354,0.3507593566924139
11394,1,0.02169365432208908,4,1,1,0,0,0,1,0,5,1,2,1.05,0.3384972889233152,0.249419054996127,0.4120836560805577,0.3485612577870068,0.2509641056066449,0.4004746366063483,0.3628657244354998,0.2376770495052524,0.3994572260592477,0.34657645219812194,0.2569286765628744,0.3964948712390036
11393,0,0.015968229600383743,4,1,1,0,0,0,1,0,5,1,2,1.05,0.8145663632007667,0.11212266411116434,0.07331097268806899,0.8194162634618387,0.1095676603714687,0.07101607616669267,0.8263659342796034,0.11083025471514679,0.06280381100524984,0.8326334117352053,0.09902051949281138,0.0683460687719833
6267,2,0.015163480979256495,4,1,1,0,0,1,0,0,5,1,2,1.05,0.2102766798418972,0.24901185770750986,0.5407114624505929,0.21853978671041838,0.2557506152584085,0.5257095980311731,0.2140328290955906,0.24782748632121018,0.5381396845831993,0.20487508358154521,0.2503434441675278,0.544781472250927
6268,0,0.011565743650481606,4,1,1,0,0,1,0,0,5,1,2,1.05,0.33876221498371334,0.29641693811074915,0.3648208469055374,0.33635614179719703,0.2943116240725474,0.3693322341302556,0.34852546916890076,0.28954423592493295,0.3619302949061662,0.33792014437175727,0.30002255808707423,0.36205729754116855
6266,1,0.010740109074041009,4,1,1,0,0,1,0,0,5,0,2,1.05,0.41883568448241604,0.27717067355454006,0.3039936419630439,0.4093097913322633,0.27688603531300165,0.31380417335473515,0.4093097913322633,0.27688603531300165,0.31380417335473515,0.41749348912245665,0.2717206228087497,0.3107858880687936
6265,0,0.011313653765034223,4,1,1,0,0,1,0,0,5,0,2,1.05,0.6102722850464338,0.2252195337671363,0.16450818118642999,0.6011554676521105,0.22614896164055587,0.1726955707073336,0.6142208774583964,0.22375189107413007,0.16202723146747353,0.610410094637224,0.2200315457413249,0.1695583596214511
6264,2,0.01952174701628424,4,1,1,0,0,1,0,0,5,0,2,1.05,0.3587221556391288,0.30433524817126084,0.33694259618961026,0.3701111568546727,0.3044462741869082,0.3254425689584191,0.3613655287260616,0.30308076602830974,0.33555370524562866,0.3560145808019442,0.321992709599028,0.321992709599028
11391,0,0.019956240323391963,4,1,1,0,0,0,1,0,5,1,2,1.05,0.7147962830593281,0.1584465094114844,0.1267572075291875,0.6969326225640129,0.17233243030673775,0.13073494712924932,0.7015306122448979,0.17219387755102042,0.12627551020408162,0.7185080241334669,0.15138376609101348,0.13010820977551968
11392,2,0.010619717889418956,4,1,1,0,0,0,1,0,5,1,2,1.05,0.22519656132407379,0.21843546363997918,0.556367975035947,0.2258485639686684,0.2258485639686684,0.5483028720626633,0.22519656132407379,0.21843546363997918,0.556367975035947,0.21806163549141103,0.22157067330391653,0.5603676912046726
6263,0,0.01590865762226193,4,1,1,0,0,1,0,0,5,1,2,1.05,0.47368421052631576,0.2631578947368421,0.2631578947368421,0.46400294605045106,0.2642238998342846,0.27177315411526415,0.47368421052631576,0.2631578947368421,0.2631578947368421,0.48267397385397043,0.26709767654278704,0.2502283496032426
6262,1,0.011015627843406846,4,1,1,0,0,1,0,0,5,1,2,1.05,0.8325171400587659,0.11165523996082272,0.05582761998041136,0.833901076440932,0.11282191034200843,0.053277013217059535,0.8461995249406176,0.1043646080760095,0.04943586698337293,0.8352947288972367,0.11104506395927968,0.05366020714348365
6259,0,0.0144807947719676,4,1,1,0,0,1,0,0,5,1,2,1.05,0.600404620505123,0.2356588135482608,0.1639365659466162,0.5878322828172102,0.24116196218141958,0.17100575500137025,0.6075949367088608,0.23544303797468355,0.1569620253164557,0.5979381443298969,0.23917525773195875,0.16288659793814433
6261,2,0.016370739648453512,4,1,1,0,0,1,0,0,5,1,2,1.05,0.31481481481481477,0.31481481481481477,0.3703703703703704,0.32445923460898507,0.3136439267886855,0.36189683860232946,0.3066287108580724,0.3277755185034567,0.36559577063847093,0.31064078530970957,0.3168329604321622,0.3725262542581282
6260,0,0.00953265936983009,4,1,1,0,0,1,0,0,5,1,2,1.05,0.4317656129529684,0.27139552814186585,0.2968388589051658,0.42834645669291344,0.2771653543307087,0.29448818897637796,0.42767047694126925,0.2688214426487978,0.30350808040993305,0.4309683568140069,0.2768721129531847,0.2921595302328084
11390,2,0.023167716558150617,4,1,1,0,0,0,1,0,5,1,2,1.05,0.2004950495049505,0.21163366336633663,0.5878712871287128,0.22556390977443608,0.21052631578947367,0.5639097744360902,0.20873511060692002,0.20419739081111743,0.5870674985819626,0.2068305377135376,0.20420689452901067,0.5889625677574516
11386,1,0.022951613812137846,4,1,1,0,0,0,1,0,5,1,2,1.05,0.5546995377503853,0.2357473035439137,0.20955315870570107,0.5368775453756425,0.24365980905509932,0.219462645569258,0.556367975035947,0.22519656132407379,0.21843546363997918,0.561029628048886,0.23709360202557342,0.20187676992554057
11387,1,0.006357557614501361,4,1,1,0,0,0,1,0,5,1,2,1.05,0.38686331810069224,0.25275070115911896,0.3603859807401887,0.383955298343644,0.25424067052484534,0.36180403113151066,0.3852612861799862,0.25170404030425764,0.3630346735157562,0.38236220950761046,0.25935023862044354,0.35828755187194605
11388,1,0.009559992727473956,4,1,1,0,0,0,1,0,5,1,2,1.05,0.7354501096103528,0.14595856021497775,0.11859133017466941,0.7322918515888514,0.1523167051304811,0.1153914432806675,0.7354501096103528,0.14595856021497775,0.11859133017466941,0.7432992822843795,0.14268691579566214,0.11401380191995833
11389,0,0.030461466416059124,4,1,1,0,0,0,1,0,5,1,2,1.05,0.4308880308880309,0.2633204633204634,0.3057915057915058,0.419889502762431,0.24861878453038674,0.33149171270718236,0.4281345565749235,0.23547400611620792,0.3363914373088685,0.4419545236038472,0.24379859110640434,0.3142468852897484
6257,2,0.015068872441654415,4,1,1,0,0,1,0,0,5,1,2,1.05,0.4509283819628648,0.2785145888594165,0.27055702917771884,0.45092838196286467,0.2705570291777188,0.27851458885941643,0.4603234298608499,0.26212861978187285,0.27754795035727714,0.4452318420575982,0.27617279478355367,0.278595363158848
6258,0,0.018165075207402265,4,1,1,0,0,1,0,0,5,1,2,1.05,0.6747404844290658,0.17993079584775085,0.1453287197231834,0.6656892657605896,0.19831992709117563,0.1359908071482347,0.6764374295377678,0.19729425028184894,0.1262683201803833,0.6716365157254193,0.19131464387330122,0.13704884040127946
11385,0,0.020425956027819304,4,1,1,0,0,0,1,0,5,1,2,1.05,0.33938294010889286,0.2879612825166364,0.37265577737447064,0.3437815975733064,0.27805864509605666,0.37815975733063706,0.33707865168539325,0.2696629213483146,0.39325842696629215,0.34675923225016037,0.2853859168076541,0.3678548509421854
