match_idx,y,w_b365,w_bw,w_ps,w_wh,pH_mix,pD_mix,pA_mix,pH_eq,pD_eq,pA_eq,pH_static,pD_static,pA_static
1338,1,0.28927046522338756,0.15029626663646747,0.3155057809658275,0.2449274871743174,0.5161070694851264,0.25243712225271614,0.23145580826215736,0.5149710180150944,0.2529908561247745,0.23203812586013114,0.514978210243029,0.25298801772881485,0.23203377202815614
1339,1,0.28927351718644473,0.15032135622697598,0.3154928033907238,0.24491232319585549,0.42994849557767884,0.28614500865671727,0.28390649576560395,0.42881919034091137,0.28669146129387624,0.2844893483652124,0.4288267037635428,0.28668830823699076,0.2844849879994664
1340,1,0.28927376074611183,0.15032335919899917,0.31549176737457374,0.24491111268031518,0.3794049568394658,0.2766097701879472,0.343985272972587,0.3784383789891168,0.27728983133837104,0.3442717896725122,0.37844504808929347,0.2772853969950019,0.34426955491570477
1341,0,0.2892722313220283,0.15031078336309495,0.31549827214175497,0.2449187131731218,0.4893016762931551,0.27002296355085936,0.2406753601559857,0.4883534157851097,0.2706192678164826,0.24102731639840771,0.48835904096622257,0.27061509209182916,0.24102586694194836
1342,2,0.2913929432149013,0.15018469591718178,0.3165978818244157,0.2418244790435013,0.1957478394574204,0.24974774036636066,0.5545044201762189,0.19553856624548946,0.2506995543071786,0.5537618794473319,0.19553993573684045,0.25069430329006076,0.5537657609730988
1343,0,0.2892717654318552,0.15030695336545485,0.3155002532054946,0.2449210279971954,0.7145860704605086,0.17191564624181585,0.11349828329767558,0.7131222173527979,0.17221672797915102,0.114661054668051,0.7131327143960864,0.17221430974273505,0.11465297586117862
1344,2,0.28927525814482713,0.15033567574727616,0.3154853968345226,0.24490366927337417,0.4524511428638898,0.287566235514257,0.25998262162185315,0.4528053914290279,0.28747783205719335,0.25971677651377867,0.45280322528965034,0.2874779973645503,0.2597187773457994
1345,1,0.289272766852798,0.1503151863414116,0.3154959947174236,0.24491605208836678,0.35699009469239434,0.27977113202411713,0.3632387732834885,0.35665917464991864,0.27887211087976826,0.3644687144703132,0.3566621205733804,0.27887683235962357,0.364461047066996
1346,0,0.2913946466102224,0.15019877371567494,0.3165905359197123,0.24181604375439036,0.3511113861880171,0.29787277165752374,0.3510158421544591,0.35082186337980065,0.2974742465408274,0.3517038900793721,0.3508246189855563,0.29747639694729455,0.3516989840671491
1347,2,0.29139412632827844,0.15019447325769875,0.3165927799161695,0.24181862049785327,0.24952889816905277,0.2727016689853787,0.4777694328455685,0.24877950304613203,0.27379035793258205,0.47743013902128595,0.2487840435887885,0.2737830215527581,0.4774329348584534
1348,0,0.29139431132381144,0.15019600230575633,0.31659198205106875,0.24181770431936345,0.7916109429524567,0.1416250839994621,0.06676397304808111,0.7903797529268001,0.1424413142936782,0.06717893277952176,0.7903871998554653,0.1424359354830455,0.0671768646614892
1349,1,0.29139304941328753,0.15018557344466296,0.3165974239193595,0.24182395322268993,0.8363911279716492,0.1125607946442747,0.05104807738407603,0.835852082337219,0.11339455212470237,0.05075336553807859,0.8358556386842431,0.11338877067737207,0.050755590638384834
1350,2,0.2913959291734395,0.1502093770171036,0.31658500313385424,0.2418096906756026,0.4416855049312468,0.28416623595440743,0.2741482591143458,0.44164817044162785,0.28378003560006376,0.2745717939583084,0.4416483308627109,0.2837831039075397,0.2745685652297493
1351,0,0.291394560549958,0.15019806233931443,0.3165909071178212,0.24181646999290637,0.39891079257688294,0.2870201515196749,0.31406905590344225,0.3991352941801231,0.28643180589099065,0.3144328999288863,0.3991329371312229,0.28643608582392094,0.3144309770448562
1352,2,0.289273466910825,0.1503209427863975,0.31549301723886775,0.2449125730639097,0.49026979008347726,0.2810034942115924,0.22872671570493047,0.4898641963196978,0.28074622634166035,0.22938957733864185,0.48986591429110565,0.280748728929804,0.22938535677909036
1353,0,0.28927334612534816,0.15031994952781563,0.31549353099278293,0.24491317335405333,0.3733235802066794,0.29211805281665115,0.3345583669766696,0.37205888158527894,0.29238202565901517,0.33555909275570583,0.37206608451814016,0.2923810661351203,0.33555284934673946
1354,2,0.2913925598957124,0.15018152868476337,0.31659953453163425,0.24182637688788997,0.5076448816378895,0.29547003804129585,0.1968850803208147,0.5076359279352317,0.29480679656553177,0.1975572754992364,0.5076360419556554,0.29481105843215283,0.19755289961219186
1355,1,0.28953029715220957,0.14994588749535873,0.31851638082116285,0.24200743453126888,0.31858135372040125,0.26593543892820476,0.4154832073513941,0.3187730812258662,0.26585686454790874,0.415370054226225,0.3187714752478729,0.2658575338286559,0.41537099092347124
1356,0,0.28741829859281803,0.1500521088273298,0.317416740897476,0.24511285168237618,0.5112835685763227,0.27033091265432224,0.21838551876935497,0.5114417321442813,0.27066383851806103,0.2178944293376577,0.5114403442546142,0.27066093646601386,0.21789871927937196
1357,0,0.28952667580485897,0.14991623139332216,0.3185319041575822,0.24202518864423667,0.5534287093281323,0.2580051014746991,0.18856618919716878,0.5515725770116027,0.2583736935772081,0.1900537294111893,0.5515835086729012,0.25837165088200337,0.19004484044509556
1358,1,0.28927374510234083,0.15032323054547128,0.3154918339191655,0.24491119043302226,0.36294338450007296,0.28099920046225624,0.35605741503767074,0.36226176870657856,0.2804591136436446,0.35727911764977677,0.36226612226817784,0.2804626846901649,0.3572711930416572
1359,2,0.28927334314778436,0.1503199250426608,0.31549354365751436,0.24491318815204047,0.29509851399956477,0.27242378606533957,0.43247769993509577,0.29606407839054233,0.2728012149311189,0.4311347066783388,0.29605753594621537,0.2727988827929851,0.4311435812607995
1360,0,0.2892726872865436,0.1503145321384477,0.31549633310060055,0.2449164474744081,0.368398317469829,0.2757504457175321,0.3558512368126389,0.3672889923131308,0.27602785566454024,0.356683152022329,0.3672965181257104,0.27602628782684335,0.3566771940474462
