match_idx,y,w_b365,w_bw,w_ps,w_wh,pH_mix,pD_mix,pA_mix,pH_eq,pD_eq,pA_eq
131,2,0.23953229754630165,0.23794210160070767,0.2580066180293017,0.26451898282368896,0.3497510854667027,0.3181884283546597,0.33206048617863754,0.34969758514520677,0.3181378019437094,0.3321646129110839
132,1,0.23953270970156892,0.23792753109956324,0.2580124463730683,0.2645273128257995,0.2295917212367628,0.26708179006565785,0.5033264886975793,0.22984623684088598,0.2671512789805243,0.5030024841785897
133,2,0.2401034328117672,0.23838697728479663,0.260610562381007,0.2608990275224292,0.16175183033505824,0.22309482348670615,0.6151533461782356,0.16188582162799123,0.22307785503890892,0.6150363233330998
134,0,0.24010469842106588,0.2383443083828428,0.26062785557753465,0.2609231376185566,0.6748110547380433,0.19678855896952155,0.12840038629243525,0.6745363959990479,0.19684910356454938,0.1286145004364027
135,0,0.24010395816360086,0.23836927570266256,0.26061773658371284,0.2609090295500237,0.13461760698705894,0.16125435444187677,0.7041280385710642,0.13475420230417695,0.161271939341404,0.7039738583544191
136,2,0.24010371249308587,0.23837755529930468,0.2606143809728764,0.26090435123473293,0.2056626274281987,0.2219557109171911,0.5723816616546102,0.2056717186156841,0.22200488277318045,0.5723233986111355
137,0,0.24010343817437046,0.23838679666631812,0.2606106355828741,0.2608991295764373,0.41918317771900654,0.267394831162922,0.31342199111807134,0.4192152164317237,0.2675017350443441,0.31328304852393224
138,0,0.23953230544526213,0.2379418224535339,0.25800672969059696,0.2645191424106071,0.27083262762607674,0.30239988975760757,0.42676748261631564,0.27091397119774785,0.3024837069786609,0.4266023218235912
139,2,0.24010333572999362,0.2383902468477002,0.26060923727883695,0.2608971801434693,0.4225084015296238,0.24012371777015248,0.3373678807002237,0.42245789167685793,0.24012530539886526,0.3374168029242768
140,0,0.2395323523944929,0.23794016320224146,0.25800739340579026,0.26452009099747537,0.6980771944626709,0.19030912606641454,0.11161367947091459,0.6978297944948706,0.19045694543784364,0.11171326006728577
141,0,0.239532553641115,0.23793304935443216,0.2580102390128408,0.264524157991612,0.42944079381977945,0.30193707439225137,0.2686221317879692,0.4294541604986514,0.30190786165281275,0.2686379778485359
142,1,0.23878765170076313,0.23754280549550857,0.26286415638242183,0.2608053864213064,0.5416233888251959,0.2435162027207268,0.2148604084540774,0.5414158291027875,0.2437457177784922,0.2148384531187202
143,1,0.23822337095792875,0.23713512871984552,0.2602301528540315,0.2644113474681942,0.29268942840553897,0.2741806296561655,0.43312994193829557,0.29275705683078346,0.27423133338231287,0.4330116097869036
144,1,0.23822449620670744,0.2370928675687872,0.26024716422724553,0.26443547199725986,0.44163953883869633,0.29005171130827717,0.2683087498530264,0.4415143037782812,0.2901289874277516,0.26835670879396706
145,0,0.2382233513374384,0.23713586479537102,0.2602298565642097,0.2644109273029808,0.7375560496771013,0.17324254766442557,0.08920140265847308,0.7373776919333911,0.17324869316596228,0.08937361490064671
146,0,0.23822426130540655,0.23710169739168335,0.2602436099367714,0.26443043136613864,0.786947588534855,0.13817736374454384,0.07487504772060107,0.7867021815332323,0.138289517240935,0.07500830122583264
