match_id,match_date,league,home_team,away_team,result,pH_weighted,pD_weighted,pA_weighted,pH_equal,pD_equal,pA_equal,n_books,books_used,has_pinnacle,dispH,dispD,dispA,y,pH_mkt,pD_mkt,pA_mkt,feat_league_tier,feat_total_dispersion,feat_market_confidence,feat_book_coverage,feat_has_pinnacle,feat_consensus_diff,match_date_dt,feat_month,feat_is_weekend,feat_season_phase,feat_disp_x_books,feat_sharp_x_diff,diff_H,diff_D,diff_A,mean_abs_diff,max_abs_diff,identical_triplet
6261,2024-05-12,I1,Verona,Torino,A,0.3140021781305318,0.3175964970790935,0.3684013247903747,0.3141358863978954,0.3182668051347798,0.3675973084673247,4,"b365,bw,wh,ps",1,0.0063926830871956,0.0051471310436528,0.0079263317533549,2,0.3140021781305318,0.3175964970790935,0.3684013247903747,1,0.0194661458842034,0.9809055494752894,0.6666666666666666,1,0.0016080326460999,2024-05-12,5,1,2.0,0.0778645835368137,0.0016080326460999,0.0001337082673636414,0.0006703080556862973,0.0008040163230499942,0.0005360108820333109,0.0008040163230499942,False
6260,2024-05-12,I1,Genoa,Sassuolo,H,0.4299972344450139,0.2741183591986206,0.2958844063563655,0.4296877258502894,0.2735636095186392,0.2967486646310713,4,"b365,bw,wh,ps",1,0.0066539120184839,0.0052045844769393,0.0070407633260313,0,0.4299972344450139,0.2741183591986206,0.2958844063563655,1,0.0188992598214546,0.9814512969370826,0.6666666666666666,1,0.0017285165494116,2024-05-12,5,1,2.0,0.0755970392858185,0.0017285165494116,0.00030950859472450576,0.0005547496799814255,0.0008642582747058203,0.0005761721831372505,0.0008642582747058203,False
11390,2024-05-12,D1,Darmstadt,Hoffenheim,A,0.2097108306355973,0.2074521487464232,0.5828370206179794,0.210406151899961,0.2076410661239845,0.5819527819760544,4,"b365,bw,wh,ps",1,0.006987025633547,0.0049438904375265,0.0058507263188637,2,0.2097108306355973,0.2074521487464232,0.5828370206179794,1,0.0177816423899373,0.982529020322883,0.6666666666666666,1,0.0017684772838501,2024-05-12,5,1,2.0,0.0711265695597495,0.0017684772838501,0.0006953212643636963,0.00018891737756129845,0.0008842386419249948,0.0005894924279499966,0.0008842386419249948,False
11386,2024-05-11,D1,Freiburg,Heidenheim,D,0.5532945497438182,0.2360601256253842,0.2106453246307974,0.5522436715527153,0.235424318987165,0.2123320094601197,4,"b365,bw,wh,ps",1,0.0061125804885046,0.0049903902393763,0.0082498373192369,1,0.5532945497438182,0.2360601256253842,0.2106453246307974,1,0.0193528080471179,0.9810146125126256,0.6666666666666666,1,0.0033733696586444,2024-05-11,5,1,2.0,0.0774112321884719,0.0033733696586444,0.0010508781911029441,0.0006358066382191885,0.0016866848293222991,0.0011244565528814772,0.0016866848293222991,False
11387,2024-05-11,D1,M'gladbach,Ein Frankfurt,D,0.3843598000008358,0.2551999335771673,0.3604402664219967,0.3846105280329832,0.2545114126521663,0.3608780593148504,4,"b365,bw,wh,ps",1,0.0084883477651879,0.0043985466207585,0.0063403922103372,1,0.3843598000008358,0.2551999335771673,0.3604402664219967,1,0.0192272865962836,0.9811354279372824,0.6666666666666666,1,0.001377041850002,2024-05-11,5,1,2.0,0.0769091463851346,0.001377041850002,0.0002507280321473737,0.0006885209250009905,0.0004377928928536723,0.00045901395000067885,0.0006885209250009905,False
11388,2024-05-11,D1,RB Leipzig,Werder Bremen,D,0.7375025032815318,0.146212276549628,0.1162852201688401,0.7366228382734841,0.1467301853390246,0.1166469763874911,4,"b365,bw,wh,ps",1,0.0084424488406505,0.0045166829441481,0.0053683417187645,1,0.7375025032815318,0.146212276549628,0.1162852201688401,1,0.0183274735035633,0.9820023774469055,0.6666666666666666,1,0.0017593300160954,2024-05-11,5,1,2.0,0.0733098940142534,0.0017593300160954,0.0008796650080477031,0.0005179087893965872,0.00036175621865099095,0.0005864433386984271,0.0008796650080477031,False
11389,2024-05-11,D1,Mainz,Dortmund,H,0.4318460017745752,0.2482410764149598,0.3199129218104648,0.4302166534573081,0.2478029612683656,0.3219803852743262,4,"b365,bw,wh,ps",1,0.0057712375160314,0.0045987502260657,0.0052801402850697,0,0.4318460017745752,0.2482410764149598,0.3199129218104648,1,0.0156501280271669,0.9845910244135287,0.6666666666666666,1,0.0041349269277227,2024-05-11,5,1,2.0,0.0626005121086677,0.0041349269277227,0.001629348317267132,0.0004381151465941979,0.0020674634638613854,0.0013783089759075717,0.0020674634638613854,False
6257,2024-05-11,I1,Napoli,Bologna,A,0.4506257016176587,0.2729948233689331,0.276379475013408,0.4518530089610444,0.2718432581506405,0.2763037328883151,4,"b365,bw,wh,ps",1,0.0062483851033174,0.0045839011036941,0.0063368711449469,2,0.4506257016176587,0.2729948233689331,0.276379475013408,1,0.0171691573519585,0.9831206469171206,0.6666666666666666,1,0.0024546146867712,2024-05-11,5,1,2.0,0.0686766294078342,0.0024546146867712,0.0012273073433857196,0.0011515652182926273,7.574212509287026e-05,0.0008182048955904057,0.0012273073433857196,False
6258,2024-05-11,I1,Milan,Cagliari,H,0.6719682773952911,0.1910861733283845,0.1369455492763242,0.6721259238632106,0.1917149042735191,0.1361591718632702,4,"b365,bw,wh,ps",1,0.00929726867673,0.004171723335203,0.008091963715827,0,0.6719682773952911,0.1910861733283845,0.1369455492763242,1,0.0215609557277601,0.9788941074863222,0.6666666666666666,1,0.0015727548261081,2024-05-11,5,1,2.0,0.0862438229110405,0.0015727548261081,0.00015764646791949222,0.0006287309451345757,0.0007863774130540124,0.0005242516087026935,0.0007863774130540124,False
11385,2024-05-11,D1,FC Koln,Union Berlin,H,0.3425175750842775,0.2815876192756671,0.3758948056400552,0.3417506054044382,0.2802671914421654,0.3779822031533963,4,"b365,bw,wh,ps",1,0.0064181849081671,0.0044548537963583,0.0050270851163388,0,0.3425175750842775,0.2815876192756671,0.3758948056400552,1,0.0159001238208643,0.9843487332582824,0.6666666666666666,1,0.004174795026682,2024-05-11,5,1,2.0,0.0636004952834572,0.004174795026682,0.0007669696798393022,0.001320427833501725,0.002087397513341138,0.0013915983422273885,0.002087397513341138,False
